Job Title,Company Name,Location,Link
"Senior / Staff ML Engineer
Senior / Staff ML Engineer with verification",Instawork,"San Francisco, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4233104498&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=5HeJtP5qherd0%2Fa0io43eA%3D%3D
"Sr. Consultant, Commercial Analytics
Sr. Consultant, Commercial Analytics with verification",IQVIA,"San Mateo, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4236165099&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=YiN2MZsuuY5EiBH9IKI1Sw%3D%3D&start=100&trackingId=s3cnSgokCyjAkjpLBWp27Q%3D%3D
"(USA) Senior, Data Engineer
(USA) Senior, Data Engineer with verification",Lensa,"Sunnyvale, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253429675&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=GjK5peL1UE9QOVtAFkw4tQ%3D%3D
"Data Science Engineering Analyst
Data Science Engineering Analyst with verification",Lensa,"Mountain View, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253436121&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=hv36KAazDFQPvLI0zR3YNg%3D%3D&start=50&trackingId=kjT3QAPv967e1tuxO7Dq9g%3D%3D
"Senior Data Engineer
Senior Data Engineer with verification",Lensa,"Sunnyvale, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253427927&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=fAM0fAkgqfU8em29eY4pYA%3D%3D
"Senior Researcher Engineer - Fujitsu Research of America
Senior Researcher Engineer - Fujitsu Research of America with verification",Lensa,"Santa Clara, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253430625&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=n6orqkQqgzJMqN2c52ecKg%3D%3D
"Jr. Applied Scientist - Santa Cruz
Jr. Applied Scientist - Santa Cruz with verification",Lensa,"Santa Cruz, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253429877&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=YiN2MZsuuY5EiBH9IKI1Sw%3D%3D&start=100&trackingId=t3rVKESYKEtFSkkPOWywRQ%3D%3D
"Senior Scientist, Protein Therapeutics
Senior Scientist, Protein Therapeutics with verification",Lensa,"San Mateo, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253422797&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=YiN2MZsuuY5EiBH9IKI1Sw%3D%3D&start=100&trackingId=hdbsSaPRuFNlzSqc3KtXfA%3D%3D
"Senior Data Analyst / Contract / Remote
Senior Data Analyst / Contract / Remote with verification",Lensa,"San Francisco, CA (Remote)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253422666&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=jwJPrE3dhZdrbzQGKzcK4g%3D%3D
"Data Scientist - Fraud Detection
Data Scientist - Fraud Detection with verification",Lensa,"Mountain View, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253438065&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=OJWQgfS1zI648GWAFF512g%3D%3D
